,prodh1h,elec1h,gram1h,planstop1h,prod1h,stop
2015-01-08 10:00:00,0.0,0.5065000057220459,,1.0,,1.0
2015-01-08 11:00:00,0.0,0.49833333988984424,,1.0,,1.0
2015-01-08 12:00:00,0.0,0.5475666721661886,,1.0,,1.0
2015-01-08 13:00:00,0.0,0.7250833362340927,,1.0,,1.0
2015-01-08 14:00:00,0.0,0.5216499964396158,,1.0,,1.0
2015-01-08 15:00:00,0.0,0.5268166760603586,,1.0,,1.0
2015-01-08 16:00:00,0.0,0.5266833404699961,,1.0,,1.0
2015-01-08 17:00:00,0.0,0.5172500063975652,,1.0,,1.0
2015-01-08 18:00:00,0.0,0.43611666560173035,,1.0,,1.0
2015-01-08 19:00:00,0.0,0.4325833320617676,,1.0,,1.0
2015-01-08 20:00:00,0.0,0.43494999408721924,,1.0,,1.0
2015-01-08 21:00:00,0.0,0.4419666677713394,,1.0,,1.0
2015-01-08 22:00:00,0.0,0.5210166672865549,,1.0,,1.0
2015-01-08 23:00:00,0.0,0.5473500192165375,,1.0,,1.0
2015-01-09 00:00:00,0.0,0.5828333298365275,,1.0,,1.0
2015-01-09 01:00:00,0.0,0.5891500115394592,,1.0,,1.0
2015-01-09 02:00:00,0.0,0.5854833424091339,,1.0,,1.0
2015-01-09 03:00:00,0.0,0.6128833293914795,,1.0,,1.0
2015-01-09 04:00:00,0.0,0.5647999942302704,,1.0,,1.0
2015-01-09 05:00:00,0.0,0.565366675456365,,1.0,,1.0
2015-01-09 06:00:00,0.0,0.5611833333969116,,1.0,,1.0
2015-01-09 07:00:00,0.0,0.5779333313306173,,1.0,,1.0
2015-01-09 08:00:00,0.0,0.5993499855200449,,1.0,,1.0
2015-01-09 09:00:00,0.0,0.9667000075181326,,1.0,,1.0
2015-01-09 10:00:00,0.0,0.6403000056743622,,1.0,,1.0
2015-01-09 11:00:00,0.0,0.6101666589577993,,1.0,,1.0
2015-01-09 12:00:00,0.0,0.6245999932289124,,1.0,,1.0
2015-01-09 13:00:00,0.0,0.6298666596412659,,1.0,,1.0
2015-01-09 14:00:00,0.0,0.7735333343346914,,1.0,,1.0
2015-01-09 15:00:00,0.0,0.7236999869346619,,1.0,,1.0
2015-01-09 16:00:00,0.0,0.7328833242257436,,1.0,,1.0
2015-01-09 17:00:00,0.0,0.7099500000476837,,1.0,,1.0
2015-01-09 18:00:00,0.0,0.6540666619936625,,1.0,,1.0
2015-01-09 19:00:00,0.0,0.6496666669845581,,1.0,,1.0
2015-01-09 20:00:00,0.0,0.6453166703383127,,1.0,,1.0
2015-01-09 21:00:00,0.0,0.6377000013987223,,1.0,,1.0
2015-01-09 22:00:00,0.0,0.6281666656335195,,1.0,,1.0
2015-01-09 23:00:00,0.0,0.6428333322207133,,1.0,,1.0
2015-01-10 00:00:00,0.0,0.6459499994913737,,1.0,,1.0
2015-01-10 01:00:00,0.0,0.6351333359877268,,1.0,,1.0
2015-01-10 02:00:00,0.0,0.6375999947388967,,1.0,,1.0
2015-01-10 03:00:00,0.0,0.6383666694164276,,1.0,,1.0
2015-01-10 04:00:00,0.0,0.6330166558424631,,1.0,,1.0
2015-01-10 05:00:00,0.0,0.6316166718800863,,1.0,,1.0
2015-01-10 06:00:00,0.0,0.6314666668574015,,1.0,,1.0
2015-01-10 07:00:00,0.0,0.6249999900658926,,1.0,,1.0
2015-01-10 08:00:00,0.0,0.6278000076611837,,1.0,,1.0
2015-01-10 09:00:00,0.0,0.6344999969005585,,1.0,,1.0
2015-01-10 10:00:00,0.0,0.6238166689872742,,1.0,,1.0
2015-01-10 11:00:00,0.0,0.6127166648705801,,1.0,,1.0
2015-01-10 12:00:00,0.0,0.6196666757265726,,1.0,,1.0
2015-01-10 13:00:00,0.0,0.6136833329995474,,1.0,,1.0
2015-01-10 14:00:00,0.0,0.6120166579882304,,1.0,,1.0
2015-01-10 15:00:00,0.0,0.632233331600825,,1.0,,1.0
2015-01-10 16:00:00,0.0,0.6309166550636292,,1.0,,1.0
2015-01-10 17:00:00,0.0,0.630700002113978,,1.0,,1.0
2015-01-10 18:00:00,0.0,0.6432333389918009,,1.0,,1.0
2015-01-10 19:00:00,0.0,0.6434666713078817,,1.0,,1.0
2015-01-10 20:00:00,0.0,0.6460499962170919,,1.0,,1.0
2015-01-10 21:00:00,0.0,0.6414666771888733,,1.0,,1.0
2015-01-10 22:00:00,0.0,0.6352666616439819,,1.0,,1.0
2015-01-10 23:00:00,0.0,0.6431833306948344,,1.0,,1.0
2015-01-11 00:00:00,0.0,0.6409833431243896,,1.0,,1.0
2015-01-11 01:00:00,0.0,0.6348333358764648,,1.0,,1.0
2015-01-11 02:00:00,0.0,0.6329833269119263,,1.0,,1.0
2015-01-11 03:00:00,0.0,0.6438666780789694,,1.0,,1.0
2015-01-11 04:00:00,0.0,0.6470666726430258,,1.0,,1.0
2015-01-11 05:00:00,0.0,0.6425000031789144,,1.0,,1.0
2015-01-11 06:00:00,0.0,0.6216666599114736,,1.0,,1.0
2015-01-11 07:00:00,0.0,0.6439000070095062,,1.0,,1.0
2015-01-11 08:00:00,0.0,0.6325500011444092,,1.0,,1.0
2015-01-11 09:00:00,0.0,0.6291666626930237,,1.0,,1.0
2015-01-11 10:00:00,0.0,0.6280166804790497,,1.0,,1.0
2015-01-11 11:00:00,0.0,0.6315166552861532,,1.0,,1.0
2015-01-11 12:00:00,0.0,0.6167000035444895,,1.0,,1.0
2015-01-11 13:00:00,0.0,0.6048833330472311,,1.0,,1.0
2015-01-11 14:00:00,0.0,0.6072333256403605,,1.0,,1.0
2015-01-11 15:00:00,0.0,0.6037333309650421,,1.0,,1.0
2015-01-11 16:00:00,0.0,0.598583330710729,,1.0,,1.0
2015-01-11 17:00:00,0.0,0.6188166737556458,,1.0,,1.0
2015-01-11 18:00:00,0.0,0.6037166714668274,,1.0,,1.0
2015-01-11 19:00:00,0.0,0.6145666738351186,,1.0,,1.0
2015-01-11 20:00:00,0.0,0.6239500045776367,,1.0,,1.0
2015-01-11 21:00:00,0.0,0.6117999851703644,,1.0,,1.0
2015-01-11 22:00:00,0.0,0.6069500048955282,,1.0,,1.0
2015-01-11 23:00:00,0.0,0.6136000057061514,,1.0,,1.0
2015-01-12 00:00:00,0.0,0.6150333185990652,,1.0,,1.0
2015-01-12 01:00:00,0.0,0.6101000010967255,,1.0,,1.0
2015-01-12 02:00:00,0.0,0.6236166656017303,,1.0,,1.0
2015-01-12 03:00:00,0.0,0.6222333312034607,,1.0,,1.0
2015-01-12 04:00:00,0.0,0.6069500048955282,,1.0,,1.0
2015-01-12 05:00:00,0.0,0.6215166648228964,,1.0,,1.0
2015-01-12 06:00:00,0.0,0.6332833369572958,,1.0,,1.0
2015-01-12 07:00:00,0.0,0.5808333357175192,,1.0,,1.0
2015-01-12 08:00:00,0.0,0.5208999911944071,,1.0,,1.0
2015-01-12 09:00:00,0.0,0.52961665391922,,1.0,,1.0
2015-01-12 10:00:00,0.0,0.5276833275953928,,1.0,,1.0
2015-01-12 11:00:00,0.0,0.5108833312988281,,1.0,,1.0
2015-01-12 12:00:00,0.0,0.5146333376566569,,1.0,,1.0
2015-01-12 13:00:00,0.0,0.5008999953667322,,1.0,,1.0
2015-01-12 14:00:00,0.0,0.49585000177224475,,1.0,,1.0
2015-01-12 15:00:00,0.0,0.5141833424568176,,1.0,,1.0
2015-01-12 16:00:00,0.0,0.5050333390633265,,1.0,,1.0
2015-01-12 17:00:00,0.0,0.4947500030199687,,1.0,,1.0
2015-01-12 18:00:00,0.0,0.5173999965190887,,1.0,,1.0
2015-01-12 19:00:00,0.0,0.5204499860604604,,1.0,,1.0
2015-01-12 20:00:00,0.0,0.4955500016609828,,1.0,,1.0
2015-01-12 21:00:00,0.0,0.5128999948501587,,1.0,,1.0
2015-01-12 22:00:00,0.0,0.5116333266099294,,1.0,,1.0
2015-01-12 23:00:00,0.0,0.49531665941079456,,1.0,,1.0
2015-01-13 00:00:00,0.0,0.4998999983072281,,1.0,,1.0
2015-01-13 01:00:00,0.0,0.5040666709343592,,1.0,,1.0
2015-01-13 02:00:00,0.0,0.48483332991600037,,1.0,,1.0
2015-01-13 03:00:00,0.0,0.4923666715621948,,1.0,,1.0
2015-01-13 04:00:00,0.0,0.49311667184034985,,1.0,,1.0
2015-01-13 05:00:00,0.0,0.4800499975681305,,1.0,,1.0
2015-01-13 06:00:00,0.0,0.47704999645551044,,1.0,,1.0
2015-01-13 07:00:00,0.0,0.4852166722218196,,1.0,,1.0
2015-01-13 08:00:00,0.0,0.47121666371822357,,1.0,,1.0
2015-01-13 09:00:00,0.0,0.46031666298707324,,1.0,,1.0
2015-01-13 10:00:00,0.0,0.46834999322891235,,1.0,,1.0
2015-01-13 11:00:00,0.0,0.4577166686455409,,1.0,,1.0
2015-01-13 12:00:00,0.0,0.4445333331823349,,1.0,,1.0
2015-01-13 13:00:00,0.0,0.45268333454926807,,1.0,,1.0
2015-01-13 14:00:00,0.0,0.44224999845027924,,1.0,,1.0
2015-01-13 15:00:00,0.0,0.44930000106493634,,1.0,,1.0
2015-01-13 16:00:00,0.0,0.5414666632811228,,1.0,,1.0
2015-01-13 17:00:00,0.0,0.5434000094731649,,1.0,,1.0
2015-01-13 18:00:00,0.0,0.5459499955177307,,1.0,,1.0
2015-01-13 19:00:00,0.0,0.554800013701121,,1.0,,1.0
2015-01-13 20:00:00,0.0,0.5493666628996531,,1.0,,1.0
2015-01-13 21:00:00,0.0,0.741733322540919,,1.0,,1.0
2015-01-13 22:00:00,0.0,0.7750166753927866,,1.0,,1.0
2015-01-13 23:00:00,0.0,0.639766663312912,,1.0,,1.0
2015-01-14 00:00:00,0.0,0.6451666752497355,,1.0,,1.0
2015-01-14 01:00:00,0.0,0.647216667731603,,1.0,,1.0
2015-01-14 02:00:00,0.0,0.6629166603088379,,1.0,,1.0
2015-01-14 03:00:00,0.0,0.6586333314577738,,1.0,,1.0
2015-01-14 04:00:00,0.0,0.6546833217144012,,1.0,,1.0
2015-01-14 05:00:00,0.0,0.6712499856948853,,1.0,,1.0
2015-01-14 06:00:00,0.0,0.6636666754881541,,1.0,,1.0
2015-01-14 07:00:00,0.0,0.6784166693687439,,1.0,,1.0
2015-01-14 08:00:00,0.0,0.6714166700839996,,1.0,,1.0
2015-01-14 09:00:00,0.0,0.6605666677157084,,1.0,,1.0
2015-01-14 10:00:00,0.0,0.6534666617711385,,1.0,,1.0
2015-01-14 11:00:00,0.0,0.6589166720708212,,1.0,,1.0
2015-01-14 12:00:00,0.0,0.643916666507721,,1.0,,1.0
2015-01-14 13:00:00,0.0,0.6176000038782755,,1.0,,1.0
2015-01-14 14:00:00,0.0,0.6144499977429708,,1.0,,1.0
2015-01-14 15:00:00,0.0,0.6073333422342936,,1.0,,1.0
2015-01-14 16:00:00,0.0,0.5955166618029276,,1.0,,1.0
2015-01-14 17:00:00,0.0,0.6108833452065786,,1.0,,1.0
2015-01-14 18:00:00,0.0,0.602816661198934,,1.0,,1.0
2015-01-14 19:00:00,0.0,0.5966666638851166,,1.0,,1.0
2015-01-14 20:00:00,0.0,0.5974833369255066,,1.0,,1.0
2015-01-14 21:00:00,0.0,0.5840833385785421,,1.0,,1.0
2015-01-14 22:00:00,0.0,0.5722999970118204,,1.0,,1.0
2015-01-14 23:00:00,0.0,0.5991166631380717,,1.0,,1.0
2015-01-15 00:00:00,0.0,0.679200013478597,,1.0,,1.0
2015-01-15 01:00:00,0.0,0.6371999879678091,,1.0,,1.0
2015-01-15 02:00:00,0.0,0.6491833329200745,,1.0,,1.0
2015-01-15 03:00:00,0.0,0.6459666589895884,,1.0,,1.0
2015-01-15 04:00:00,0.0,0.6172333260377248,,1.0,,1.0
2015-01-15 05:00:00,0.0,0.6186333298683167,,1.0,,1.0
2015-01-15 06:00:00,0.0,0.6157000064849854,,1.0,,1.0
2015-01-15 07:00:00,0.0,0.5877333283424377,,1.0,,1.0
2015-01-15 08:00:00,0.0,0.5375166535377502,,1.0,,1.0
2015-01-15 09:00:00,0.0,0.5416333278020223,,1.0,,1.0
2015-01-15 10:00:00,0.0,0.5377666652202606,,1.0,,1.0
2015-01-15 11:00:00,0.0,0.5643333395322164,,1.0,,1.0
2015-01-15 12:00:00,0.0,0.5847499966621399,,1.0,,1.0
2015-01-15 13:00:00,0.0,0.5557166635990143,,1.0,,1.0
2015-01-15 14:00:00,0.0,0.54203333457311,,1.0,,1.0
2015-01-15 15:00:00,0.0,0.5454500019550323,,1.0,,1.0
2015-01-15 16:00:00,0.0,0.581766664981842,,1.0,,1.0
2015-01-15 17:00:00,0.0,0.5211000045140585,,1.0,,1.0
2015-01-15 18:00:00,0.0,0.5110499958197275,,1.0,,1.0
2015-01-15 19:00:00,0.0,0.6183666586875916,,1.0,,1.0
2015-01-15 20:00:00,0.0,0.6163333455721537,,1.0,,1.0
2015-01-15 21:00:00,0.0,0.6081166764100393,,1.0,,1.0
2015-01-15 22:00:00,0.0,0.6143000026543936,,1.0,,1.0
2015-01-15 23:00:00,0.0,0.6107166608174642,,1.0,,1.0
2015-01-16 00:00:00,0.0,0.5563166737556458,,1.0,,1.0
2015-01-16 01:00:00,0.0,0.5480333268642426,,1.0,,1.0
2015-01-16 02:00:00,0.0,0.587033341328303,,1.0,,1.0
2015-01-16 03:00:00,0.0,0.5770999987920126,,1.0,,1.0
2015-01-16 04:00:00,0.0,0.546583334604899,,1.0,,1.0
2015-01-16 05:00:00,0.0,0.5472333431243896,,1.0,,1.0
2015-01-16 06:00:00,0.0,0.6507166624069214,,1.0,,1.0
2015-01-16 07:00:00,0.0,0.6563833355903625,,1.0,,1.0
2015-01-16 08:00:00,0.0,0.6720666587352753,,1.0,,1.0
2015-01-16 09:00:00,0.0,0.6759666601816813,,1.0,,1.0
2015-01-16 10:00:00,0.0,0.624483327070872,,1.0,,1.0
2015-01-16 11:00:00,0.0,0.6139166553815206,,1.0,,1.0
2015-01-16 12:00:00,0.0,0.6034666697184244,,1.0,,1.0
2015-01-16 13:00:00,0.0,0.6016166706879934,,1.0,,1.0
2015-01-16 14:00:00,0.0,0.6429833273092905,,1.0,,1.0
2015-01-16 15:00:00,0.0,0.68599999944369,,1.0,,1.0
2015-01-16 16:00:00,0.0,0.7059000035127004,,1.0,,1.0
2015-01-16 17:00:00,0.0,0.7142166793346405,,1.0,,1.0
2015-01-16 18:00:00,0.0,1.1477999985218048,,1.0,,1.0
2015-01-16 19:00:00,0.0,0.7606833279132843,,1.0,,1.0
2015-01-16 20:00:00,0.0,0.7591000099976858,,1.0,,1.0
2015-01-16 21:00:00,0.0,0.7062833408514658,,1.0,,1.0
2015-01-16 22:00:00,0.0,0.7089000046253204,,1.0,,1.0
2015-01-16 23:00:00,0.0,0.7221333384513855,,1.0,,1.0
2015-01-17 00:00:00,0.0,0.8545666734377543,,1.0,,1.0
2015-01-17 01:00:00,0.0,0.806550016005834,,1.0,,1.0
2015-01-17 02:00:00,0.0,0.7054999967416128,,1.0,,1.0
2015-01-17 03:00:00,0.0,0.7183166642983755,,1.0,,1.0
2015-01-17 04:00:00,0.0,1.256250023841858,,1.0,,1.0
2015-01-17 05:00:00,0.0,0.8499666750431061,,1.0,,1.0
2015-01-17 06:00:00,0.0,0.6950666507085165,,1.0,,1.0
