date,quantity
2015-01-02 01:00:00+00:00,1
2015-01-02 09:00:00+00:00,2
2015-01-02 14:00:00+00:00,1
2015-02-02 22:00:00+00:00,0
2015-02-05 00:00:00+00:00,2
2015-02-05 08:00:00+00:00,3
2015-02-05 12:00:00+00:00,1
2015-02-24 06:00:00+00:00,0
2015-02-26 09:00:00+00:00,2
2015-02-26 14:00:00+00:00,3
2015-02-26 18:00:00+00:00,1
2015-03-10 06:00:00+00:00,0
2015-03-12 09:00:00+00:00,2
2015-03-12 14:00:00+00:00,3
2015-03-12 18:00:00+00:00,1
2015-04-02 06:00:00+00:00,0
2015-04-02 09:00:00+00:00,2
2015-04-02 10:00:00+00:00,3
2015-04-02 11:00:00+00:00,1
2015-04-13 05:00:00+00:00,0
2015-04-16 21:00:00+00:00,2
2015-04-17 07:00:00+00:00,3
2015-04-17 13:00:00+00:00,1
2015-05-20 05:00:00+00:00,0
2015-05-20 13:00:00+00:00,2
2015-05-20 16:00:00+00:00,3
2015-05-20 18:00:00+00:00,1
